item_id,title,cluster_hint,week_idx,week_start,units_actual,promo_flag,oos_flag
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,0,2025-05-19,13,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,1,2025-05-26,70,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,2,2025-06-02,139,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,3,2025-06-09,93,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,4,2025-06-16,161,1,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,5,2025-06-23,170,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,6,2025-06-30,103,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,7,2025-07-07,129,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,8,2025-07-14,101,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,9,2025-07-21,67,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,10,2025-07-28,64,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,11,2025-08-04,0,0,1
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,12,2025-08-11,47,0,1
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,13,2025-08-18,14,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,14,2025-08-25,73,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,15,2025-09-01,32,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,16,2025-09-08,103,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,17,2025-09-15,0,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,18,2025-09-22,8,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,19,2025-09-29,52,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,20,2025-10-06,0,1,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,21,2025-10-13,40,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,22,2025-10-20,77,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,23,2025-10-27,59,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,24,2025-11-03,56,0,0
P1000,UrbanPeak Signature Neutral Road Running Shoe - Black,RUN_NEUTRAL,25,2025-11-10,0,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,0,2025-10-06,109,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,1,2025-10-13,92,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,2,2025-10-20,97,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,3,2025-10-27,144,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,4,2025-11-03,52,0,1
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,5,2025-11-10,46,0,1
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,6,2025-11-17,217,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,7,2025-11-24,16,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,8,2025-12-01,84,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,9,2025-12-08,97,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,10,2025-12-15,70,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,11,2025-12-22,171,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,12,2025-12-29,108,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,13,2026-01-05,34,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,14,2026-01-12,72,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,15,2026-01-19,0,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,16,2026-01-26,77,0,0
